time,N1
22.35,1407.54
22.4,1408.95
22.45,1410.36
22.5,1411.76
22.55,1413.17
22.6,1414.58
22.65,1415.99
22.7,1417.4
22.75,1418.81
22.8,1420.22
22.85,1421.62
22.9,1423.03
22.95,1424.44
23,1425.85
23.05,1427.26
23.1,1428.67
23.15,1430.08
23.2,1431.49
23.25,1432.89
23.3,1434.3
23.35,1435.71
23.4,1437.12
23.45,1438.53
23.5,1439.94
23.55,1441.35
23.6,1442.76
23.65,1444.16
23.7,1445.57
23.75,1446.98
23.8,1448.39
23.85,1449.8
23.9,1451.21
23.95,1452.62
24,1454.02
24.05,1455.43
24.1,1456.84
24.15,1458.25
24.2,1459.66
24.25,1461.07
24.3,1462.48
24.35,1463.89
24.4,1465.29
24.45,1466.7
24.5,1468.11
24.55,1469.52
24.6,1470.93
24.65,1472.34
24.7,1473.75
24.75,1475.15
24.8,1476.56
24.85,1477.97
24.9,1479.38
24.95,1480.79
25,1482.2
25.05,1483.61
25.1,1485.02
25.15,1486.42
25.2,1487.83
25.25,1489.24
25.3,1490.65
25.35,1492.06
25.4,1493.47
25.45,1494.88
25.5,1496.28
25.55,1497.69
25.6,1499.1
25.65,1500.51
25.7,1501.92
25.75,1503.33
25.8,1504.74
25.85,1506.15
25.9,1507.55
25.95,1508.96
26,1510.37
26.05,1511.78
26.1,1513.19
26.15,1514.6
26.2,1516.01
26.25,1517.41
26.3,1518.82
26.35,1520.23
26.4,1521.64
26.45,1523.05
26.5,1524.46
26.55,1525.87
26.6,1527.27
26.65,1528.68
26.7,1530.09
26.75,1531.5
26.8,1532.91
26.85,1534.32
26.9,1535.73
26.95,1537.14
27,1538.54
27.05,1539.95
27.1,1541.36
27.15,1542.77
27.2,1544.18
27.25,1545.59
27.3,1547
27.35,1548.4
27.4,1549.81
27.45,1551.22
27.5,1552.63
27.55,1554.04
27.6,1555.45
27.65,1556.86
27.7,1558.27
27.75,1559.67
27.8,1561.08
27.85,1562.49
27.9,1563.9
27.95,1565.31
28,1566.72
28.05,1568.13
28.1,1569.53
28.15,1570.94
28.2,1572.35
28.25,1573.76
28.3,1575.17
28.35,1576.58
28.4,1577.99
28.45,1579.39
28.5,1580.8
28.55,1582.21
28.6,1583.62
28.65,1585.03
28.7,1586.44
28.75,1587.85
28.8,1589.25
28.85,1590.66
28.9,1592.07
28.95,1593.48
29,1594.89
29.05,1596.3
29.1,1597.71
29.15,1599.12
29.2,1600.52
29.25,1601.93
29.3,1603.34
29.35,1604.75
29.4,1606.16
29.45,1607.57
29.5,1608.98
29.55,1610.38
29.6,1611.79
29.65,1613.2
29.7,1614.61
29.75,1616.02
29.8,1617.43
29.85,1618.84
29.9,1620.24
29.95,1621.65
30,1623.06
30.05,1624.47
30.1,1625.88
30.15,1627.29
30.2,1628.7
30.25,1630.1
30.3,1631.51
30.35,1632.92
30.4,1634.33
30.45,1635.74
30.5,1637.15
30.55,1638.56
30.6,1639.97
30.65,1641.37
30.7,1642.78
30.75,1644.19
30.8,1645.6
30.85,1647.01
30.9,1648.42
30.95,1649.83
31,1651.23
31.05,1652.64
31.1,1654.05
31.15,1655.46
31.2,1656.87
31.25,1658.28
31.3,1659.69
31.35,1661.09
31.4,1662.5
31.45,1663.91
31.5,1665.32
31.55,1666.73
31.6,1668.14
31.65,1669.55
31.7,1670.95
31.75,1672.36
31.8,1673.77
31.85,1675.18
31.9,1676.59
31.95,1678
32,1679.41
32.05,1680.81
32.1,1682.22
32.15,1683.63
32.2,1685.04
32.25,1686.45
32.3,1687.86
32.35,1689.27
32.4,1690.67
32.45,1692.08
32.5,1693.49
32.55,1694.9
32.6,1696.31
32.65,1697.72
32.7,1699.13
32.75,1700.53
32.8,1701.94
32.85,1703.35
32.9,1704.76
32.95,1706.17
33,1707.58
33.05,1708.99
33.1,1710.39
33.15,1711.8
33.2,1713.21
33.25,1714.62
33.3,1716.03
33.35,1717.44
33.4,1718.85
33.45,1720.25
33.5,1721.66
33.55,1723.07
33.6,1724.48
33.65,1725.89
33.7,1727.3
33.75,1728.71
33.8,1730.11
33.85,1731.52
33.9,1732.93
33.95,1734.34
34,1735.75
34.05,1737.16
34.1,1738.57
34.15,1739.97
34.2,1741.38
34.25,1742.79
34.3,1744.2
34.35,1745.61
34.4,1747.02
34.45,1748.43
34.5,1749.83
34.55,1751.24
34.6,1752.65
34.65,1754.06
34.7,1755.47
34.75,1756.88
34.8,1758.29
34.85,1759.69
34.9,1761.1
34.95,1762.51
35,1763.92
35.05,1765.33
35.1,1766.74
35.15,1768.15
35.2,1769.55
35.25,1770.96
35.3,1772.37
35.35,1773.78
35.4,1775.19
35.45,1776.6
35.5,1778.01
35.55,1779.41
35.6,1780.82
35.65,1782.23
35.7,1783.64
35.75,1785.05
35.8,1786.46
35.85,1787.87
35.9,1789.27
35.95,1790.68
36,1792.09
